chunk_id,rule_number,rule_title,section_number,section_title,page_number,token_count
rule_08_section_II_chunk_066,8,OUT-OF-BOUNDS AND THROW-IN,II,Ball,25,379
rule_08_section_III_chunk_067,8,OUT-OF-BOUNDS AND THROW-IN,III,The Throw-In,25,512
rule_08_section_III_chunk_068,8,OUT-OF-BOUNDS AND THROW-IN,III,The Throw-In,25,94
rule_09_section_I_chunk_069,9,FREE THROWS AND PENALTIES,I,Positions and Violations,26,512
rule_09_section_I_chunk_070,9,FREE THROWS AND PENALTIES,I,Positions and Violations,26,589
rule_09_section_I_chunk_071,9,FREE THROWS AND PENALTIES,I,Positions and Violations,26,569
rule_09_section_II_chunk_072,9,FREE THROWS AND PENALTIES,II,Shooting of Free Throw,28,512
rule_09_section_II_chunk_073,9,FREE THROWS AND PENALTIES,II,Shooting of Free Throw,28,97
rule_09_section_III_chunk_074,9,FREE THROWS AND PENALTIES,III,Next Play,29,109
rule_10_section_I_chunk_075,10,VIOLATIONS AND PENALTIES,I,Out-of-Bounds,29,95
rule_10_section_II_chunk_076,10,VIOLATIONS AND PENALTIES,II,Dribble,29,283
rule_10_section_III_chunk_077,10,VIOLATIONS AND PENALTIES,III,Thrower-in,30,233
rule_10_section_IV_chunk_078,10,VIOLATIONS AND PENALTIES,IV,Strike the Ball,30,222
rule_10_section_V_chunk_079,10,VIOLATIONS AND PENALTIES,V,Jump Ball,30,193
rule_10_section_VI_chunk_080,10,VIOLATIONS AND PENALTIES,VI,Offensive Three-Second Rule,31,232
rule_10_section_VII_chunk_081,10,VIOLATIONS AND PENALTIES,VII,Defensive Three-Second Rule,31,372
rule_10_section_VIII_chunk_082,10,VIOLATIONS AND PENALTIES,VIII,Eight-Second Rule,32,193
rule_10_section_IX_chunk_083,10,VIOLATIONS AND PENALTIES,IX,Ball in Backcourt,32,160
rule_10_section_X_chunk_084,10,VIOLATIONS AND PENALTIES,X,Swinging of Elbows,32,88
rule_10_section_XI_chunk_085,10,VIOLATIONS AND PENALTIES,XI,Entering Basket From Below,32,61
rule_10_section_XII_chunk_086,10,VIOLATIONS AND PENALTIES,XII,Illegal Assist in Scoring,32,95
rule_10_section_XIII_chunk_087,10,VIOLATIONS AND PENALTIES,XIII,Traveling,32,512
rule_10_section_XIII_chunk_088,10,VIOLATIONS AND PENALTIES,XIII,Traveling,32,119
rule_10_section_XIV_chunk_089,10,VIOLATIONS AND PENALTIES,XIV,Offensive Screen Set Out-of-Bounds,33,79
rule_10_section_XV_chunk_090,10,VIOLATIONS AND PENALTIES,XV,Offensive Player Out-of-Bounds,33,107
rule_10_section_XVI_chunk_091,10,VIOLATIONS AND PENALTIES,XVI,Five-Second Back-to-the-Basket Violation,34,124
rule_10_section_XVII_chunk_092,10,VIOLATIONS AND PENALTIES,XVII,Flopping,34,164
rule_11_section_I_chunk_093,11,BASKET INTERFERENCE—GOALTENDING,I,A Player Shall Not:,34,512
rule_11_section_I_chunk_094,11,BASKET INTERFERENCE—GOALTENDING,I,A Player Shall Not:,34,159
rule_12_section_I_chunk_095,12,FOULS AND PENALTIES,I,Excessive Timeouts,35,160
rule_12_section_II_chunk_096,12,FOULS AND PENALTIES,II,Delay-of-Game,35,412
rule_12_section_III_chunk_097,12,FOULS AND PENALTIES,III,Number of Players,36,512
rule_12_section_III_chunk_098,12,FOULS AND PENALTIES,III,Number of Players,36,93
rule_12_section_IV_chunk_099,12,FOULS AND PENALTIES,IV,"Basket Ring, Backboard, or Support",36,201
rule_12_section_V_chunk_100,12,FOULS AND PENALTIES,V,Conduct,37,512
rule_12_section_V_chunk_101,12,FOULS AND PENALTIES,V,Conduct,37,590
rule_12_section_V_chunk_102,12,FOULS AND PENALTIES,V,Conduct,37,312
rule_12_section_VI_chunk_103,12,FOULS AND PENALTIES,VI,Fighting Fouls,39,175
rule_12_section_VII_chunk_104,12,FOULS AND PENALTIES,VII,Fines,39,512
rule_12_section_VII_chunk_105,12,FOULS AND PENALTIES,VII,Fines,39,578
rule_12_section_VII_chunk_106,12,FOULS AND PENALTIES,VII,Fines,39,116
rule_12_section_I_chunk_107,12,FOULS AND PENALTIES,I,Types,40,512
rule_12_section_I_chunk_108,12,FOULS AND PENALTIES,I,Types,40,582
rule_12_section_I_chunk_109,12,FOULS AND PENALTIES,I,Types,40,96
rule_12_section_II_chunk_110,12,FOULS AND PENALTIES,II,By Dribbler,42,348
rule_12_section_III_chunk_111,12,FOULS AND PENALTIES,III,By Screening,43,182
rule_12_section_IV_chunk_112,12,FOULS AND PENALTIES,IV,Flagrant Foul,43,497
rule_12_section_V_chunk_113,12,FOULS AND PENALTIES,V,Free Throw Penalty Situations,43,422
rule_12_section_VI_chunk_114,12,FOULS AND PENALTIES,VI,Double Fouls,44,365
rule_12_section_VII_chunk_115,12,FOULS AND PENALTIES,VII,Offensive Fouls,45,233
rule_12_section_VIII_chunk_116,12,FOULS AND PENALTIES,VIII,Loose Ball Fouls,45,329
rule_12_section_IX_chunk_117,12,FOULS AND PENALTIES,IX,Punching Fouls,46,232
rule_12_section_X_chunk_118,12,FOULS AND PENALTIES,X,Away-From-The-Play Foul,46,484
rule_12_section_XI_chunk_119,12,FOULS AND PENALTIES,XI,Transition Take Foul,47,416
rule_13_section_I_chunk_120,13,INSTANT REPLAY,I,Instant Replay Review Triggers,47,512
rule_13_section_I_chunk_121,13,INSTANT REPLAY,I,Instant Replay Review Triggers,47,583
rule_13_section_I_chunk_122,13,INSTANT REPLAY,I,Instant Replay Review Triggers,47,250
rule_13_section_II_chunk_123,13,INSTANT REPLAY,II,Reviewable Matters,49,512
rule_13_section_II_chunk_124,13,INSTANT REPLAY,II,Reviewable Matters,49,590
rule_13_section_II_chunk_125,13,INSTANT REPLAY,II,Reviewable Matters,49,576
rule_13_section_II_chunk_126,13,INSTANT REPLAY,II,Reviewable Matters,49,587
rule_13_section_II_chunk_127,13,INSTANT REPLAY,II,Reviewable Matters,49,581
rule_13_section_II_chunk_128,13,INSTANT REPLAY,II,Reviewable Matters,49,578
rule_13_section_II_chunk_129,13,INSTANT REPLAY,II,Reviewable Matters,49,587
rule_13_section_II_chunk_130,13,INSTANT REPLAY,II,Reviewable Matters,49,593
rule_13_section_II_chunk_131,13,INSTANT REPLAY,II,Reviewable Matters,49,589
rule_13_section_II_chunk_132,13,INSTANT REPLAY,II,Reviewable Matters,49,450
rule_13_section_III_chunk_133,13,INSTANT REPLAY,III,Replay Review Process,57,512
rule_13_section_III_chunk_134,13,INSTANT REPLAY,III,Replay Review Process,57,178
rule_14_section_I_chunk_135,14,COACH’S CHALLENGE,I,Overview,58,448
rule_14_section_II_chunk_136,14,COACH’S CHALLENGE,II,Procedure to Initiate the Challenge,58,512
rule_14_section_II_chunk_137,14,COACH’S CHALLENGE,II,Procedure to Initiate the Challenge,58,268
rule_14_section_III_chunk_138,14,COACH’S CHALLENGE,III,Reviewable Matters,59,512
rule_14_section_III_chunk_139,14,COACH’S CHALLENGE,III,Reviewable Matters,59,581
rule_14_section_III_chunk_140,14,COACH’S CHALLENGE,III,Reviewable Matters,59,115
rule_14_section_IV_chunk_141,14,COACH’S CHALLENGE,IV,Replay Review Process,61,276
rule_14_section_V_chunk_142,14,COACH’S CHALLENGE,V,Impact on Timeouts,62,512
rule_14_section_V_chunk_143,14,COACH’S CHALLENGE,V,Impact on Timeouts,62,587
rule_14_section_V_chunk_144,14,COACH’S CHALLENGE,V,Impact on Timeouts,62,115
rule_14_section_VI_chunk_145,14,COACH’S CHALLENGE,VI,Resumption of Play,63,512
rule_14_section_VI_chunk_146,14,COACH’S CHALLENGE,VI,Resumption of Play,63,593
rule_14_section_VI_chunk_147,14,COACH’S CHALLENGE,VI,Resumption of Play,63,593
rule_14_section_VI_chunk_148,14,COACH’S CHALLENGE,VI,Resumption of Play,63,591
rule_14_section_VI_chunk_149,14,COACH’S CHALLENGE,VI,Resumption of Play,63,593
rule_14_section_VI_chunk_150,14,COACH’S CHALLENGE,VI,Resumption of Play,63,584
rule_14_section_VI_chunk_151,14,COACH’S CHALLENGE,VI,Resumption of Play,63,580
rule_14_section_VI_chunk_152,14,COACH’S CHALLENGE,VI,Resumption of Play,63,572
rule_14_section_VI_chunk_153,14,COACH’S CHALLENGE,VI,Resumption of Play,63,580
rule_14_section_VI_chunk_154,14,COACH’S CHALLENGE,VI,Resumption of Play,63,586
rule_14_section_VI_chunk_155,14,COACH’S CHALLENGE,VI,Resumption of Play,63,281
